Video ID,Video Title,Publish Date,View Count,Like Count,Dislike Count,Like-dislike Ratio
dnOf-kLCBUU,"❅ Recette de Bûche de Noël Chocolat Blanc, Framboise, Thé Matcha ❅",2018-11-30T16:32:15Z,92253,3285,56,58.66
RSOqCEKv2AM,Mujer y piso pelvico: ¿Qué es y cómo prevenir el prolapso?,2018-12-12T16:00:58Z,184340,3446,220,15.66
ork8J09e1Kc,how to set a Tikka (The Easy Way!),2018-12-26T21:59:28Z,125750,2458,49,50.16
u4JzCvHlYwA,🎅 RECETTE des BONHOMMES en PAIN D'EPICES 🎅,2018-12-08T14:00:09Z,51140,1579,54,29.24
ItrxnFNuj7U,How to Make a Faux Concrete Wall,2018-06-04T15:02:56Z,262269,2984,92,32.43
TsgcjWvAMjg,How to Make DIY Incredibles 2 Slime Glitter Glue Craft,2018-05-21T21:47:08Z,1794896,13779,1679,8.21
fOtr4Uyi2eY,thecolorsoup.com,2018-05-14T07:29:04Z,357508,53,1,53
OmoPXVR7TCw,Ek Upay Se Problems Aur Crises Se Chutkara | समस्याएं ख़त्म करने वाला फ्री का उपाय |,2018-06-25T07:29:08Z,112064,3358,135,24.87
Gd39rI90zNE,Canapés o aperitivos de ahumados. ESPECIAL NAVIDAD. Fáciles y deliciosos. Loli Domínguez,2018-11-19T17:07:22Z,121696,4877,86,56.71
L0Jexx3TQo4,"The Weekender: ""The Modern Man Cave"" (Season 4, Episode 10)",2018-06-26T14:00:01Z,951606,12039,831,14.49
69d7utV7h40,FULL FACE OF PRODUCTS THAT ARE ACTUALLY GOOD LOL | Thomas Halbert,2018-08-31T18:58:58Z,422802,24122,961,25.1
ph6-7N95zVk,REALLY MORPHE?? WTF? Jaclyn Hill Vault Collection OLD VS. NEW!,2018-08-14T19:37:34Z,582345,25073,1624,15.44
PgtmZUnx13k,猶豫了那麼久⋯我終於入手了人生最夢幻的科技產品！！！【3cTim哥家電開箱】,2018-10-02T10:00:03Z,320759,2240,247,9.07
sYUMuQ9Rqmo,Ma recette de suprêmes de volaille et ragoût de panais - Philippe Etchebest,2018-11-24T17:38:56Z,346287,5719,166,34.45
P5unmbMJqhE,FULL FACE OF EXPIRED MAKEUP? I'M SHOOK Y'ALL!! | Thomas Halbert,2018-04-03T20:31:06Z,310326,13182,228,57.82
eDxqbU-guS0,I TRIED FOLLOWING A JEFFREE STAR MAKEUP TUTORIAL...OMG | Thomas Halbert,2018-01-27T20:49:04Z,1935229,68180,8721,7.82
LjzcgB_G59A,"GRWM Boda de día en invierno, SOY UN DESASTRE!! Maquillaje+pelo+outfit | Sara Bruno",2018-11-28T10:00:06Z,82230,1546,68,22.74
u4Dm3Vw2l28,मसाला ओट्स बनाने की विधि  HOW TO MAKE MASALA OATS AT HOME,2018-05-25T15:06:44Z,502027,5022,449,11.18
5FffN3P_ors,LẠP XƯỞNG - Bí quyết làm Lạp Xưởng Mai quế Lộ an toàn ngon đúng vị tại nhà by Vanh Khuyen,2018-02-03T09:55:23Z,587012,4857,513,9.47
P1C1WYpkbRk,আর পার্লারে নয় ঘরে বসেই গোল্ড ফেসিয়াল করে ত্বক ফর্সা ও উজ্জ্বল করে ফেলুন -Gold Facial #Rupchorcha,2018-04-17T05:28:16Z,194756,1969,158,12.46
WPBlVHSmkJ8,Ma recette de terrine de foie gras poêlé - Philippe Etchebest,2018-12-22T11:44:16Z,185201,2440,119,20.5
eAuqCrZ-tj0,LAS TRES RECETAS DE POTITOS QUE LE HAGO A MI BEBE | Sara Bruno,2018-06-12T22:01:14Z,40308,1060,48,22.08
ntFNp-JRy_E,AxionRent Capítulo 04,2018-05-04T20:34:28Z,139143,1196,57,20.98
vL9evnFemXQ,LIMPIO LA CASA A FONDO (cámara rápida) RUTINA 2019 ¡¡Motivate conmigo!! | Sara Bruno,2018-12-02T10:00:14Z,60917,1356,73,18.58
uHn11m4kGDA,"আর পার্লারে নয়, রাতে মাত্র ৫মিনিটে ত্বক ফর্সা করে ফেলুন ম্যাজিকের মত !  #Rupchorcha",2018-04-15T18:41:46Z,793076,5604,658,8.52
g8kKwxdpfGM,How to Make DIY Princess World of Art and Crafts Activity Set Art,2018-02-01T15:00:03Z,3857639,12195,2819,4.33
zzgoY83pXc4,Voyage au cœur de la thalasso bain bébé : Oscar - Clinique de la Muette,2018-11-09T10:30:17Z,730971,4119,818,5.04
sEsWE3pqrbw,"ঘরে বসে করুন পার্লারের ২ হাজার টাকার দামি এলোভেরা ফেসিয়াল || How to get clear, glowing,spotless skin",2018-11-23T13:47:39Z,515925,5391,483,11.16
ExtUANeCBd0,Tối nay ăn gì: Gợi ý đổi 30 món không lo ngán cho mâm cơm gia đình,2018-10-23T09:31:31Z,195121,551,77,7.16
zlGDFO7HABE,Charla Magistral sobre el Diagnóstico y Tratamiento de la Rinitis Alérgica.,2018-08-23T19:12:59Z,50601,661,65,10.17
TE5JfhGsrZQ,#OneofOne: Full Documentary,2018-07-14T17:08:10Z,27446,61,3,20.33
v6HX8VNV0f4,I Made DIY The GRINCH Movie Custom LOL Surprise Dolls Pretend School,2018-11-01T21:45:01Z,534431,2251,368,6.12
PnQy76hW1io,Try the Fx Sulli Diet!! -140°C Freezing Burns 800 kcal in 3 Minutes,2018-09-06T23:00:00Z,24807,14,0,
3NvgvQVZTD0,আজীবনের জন্য চুল পড়া বন্ধ করার সবথেকে সহজ উপায় - ফলাফল পাবেন ৩ দিনেই|| Hair loss problem solution,2018-09-25T11:20:30Z,151850,1994,135,14.77
UOP-FdClmcY,RECETTE : le FONDANT au chocolat au coeur coulant,2018-03-01T17:00:03Z,114884,991,62,15.98
jgQ7UlBDKBM,"৭ দিনে ত্বকের কালো দাগ ও মেছতা দূর করার সহজ উপায় || How to remove Pigmentation,Dark Spots At Home",2018-09-20T08:06:55Z,94853,939,102,9.21
HdL53__1jQM,स्वादिष्ट मसाला छाछ बनाने का बेहद सरल तरीका /how to make masala chaas,2018-04-29T18:10:13Z,70548,592,49,12.08
8jW95o8BlaY,Tanner Health Food Truck | Concession Nation | Food Trucks For Sale,2018-11-19T15:12:54Z,385128,36,2,18
n1Mf6Rudtqo,THE TRUTH ABOUT MANNYMUA'S LIFE'S A DRAG PALETTE. (REVIEW) | Thomas Halbert,2018-06-11T19:29:07Z,847339,28879,2893,9.98
Qr_iHoa45q0,HOME TOUR!!! Os enseño nuestro hogar | Sara Bruno,2018-11-21T20:30:00Z,150083,2568,239,10.74
WXu4EFWR7Gk,How to Make Play Doh My Little Pony MLP Fashion Fun Creations,2018-05-20T15:00:03Z,1077593,4609,1180,3.91
