Video ID,Video Title,Publish Date,View Count,Like Count,Dislike Count,Like-dislike Ratio
ZDea6YkO8V0,AFS vs. C9 | FNC vs. EDG | (Bo5) - Tứ Kết CKTG 2018,2018-10-21T12:34:06Z,2205208,10118,468,21.62
InYR1JcPKRs,فورت نايت - قلتش تدخل تحت الارض في تلتد😱تقتل بسهوله/:fortnite,2018-06-17T19:17:53Z,910892,20757,3327,6.24
MUoIp8bY6YU,Pamer Bojo Voc   Abah  Lala LIVE MG 86 MKVS - CENDOL DAWET WONGEDAN BEBAS - KOPENG,2018-10-23T01:45:40Z,242048,927,91,10.19
QrKhWJHqAXI,أول مرة نلعب فورت نايت وجبنا العيد | صارت مفاجأة في الاخير !!,2018-07-06T17:46:05Z,186734,5486,405,13.55
ncEBJ9NSE8I,شرح قلتش ماتموت في فورت نايت 😱🔥سهل مره ( بدون لابتوب )Fortnite,2018-09-19T10:32:03Z,716680,23799,2619,9.09
KHZsEnj5xjU,ჰალკი vs ჯარისკაცები - GTA 5 ქართულად,2018-05-31T14:43:08Z,27116,752,19,39.58
ZnFo8Lfkqiw,ახალი გამანადგურებელი იარაღი GTA 5 ქართულად - Pickaxe in GTA 5 qartulad,2018-02-09T09:42:42Z,28624,848,26,32.62
iGNKXfchHNU,M.U.G.E.N Uno De Los Chars Más Poderosos!,2018-07-26T22:09:25Z,46074,889,180,4.94
5JahyZCtE1Q,فورت نايت : جلد في الطور الجديد مع مبارك | سلاح التسلق !! | Fortnite Season 5,2018-09-07T10:28:47Z,418557,6764,622,10.87
wGMhS80qUAA,Xenoblade Chronicles 2: Torna ~ The Golden Country - Story Trailer - Nintendo Switch,2018-08-24T15:00:09Z,282141,7150,75,95.33
q57eQqq9-IA,The Legend of Zelda: Breath of the Wild DLC Dev. Talk - ft. Mr. Aonuma & Mr. Fujibayashi,2018-01-31T18:25:09Z,262320,9618,135,71.24
csZzu5w63r8,MLB The Show 18 - Settle It: Marcus Stroman vs. Trea Turner | PS4,2018-03-07T17:00:03Z,279641,2199,80,27.49
Rm0QWwK6ZLk,Starlink Battle for Atlas - Star Fox Launch Trailer - Nintendo Switch,2018-10-16T16:00:03Z,410166,7401,168,44.05
_ddQqzwH__4,Assassin's Creed Odyssey - Launch Trailer | PS4,2018-09-26T16:00:04Z,909449,14742,873,16.89
aIH8i8QAUaI,Ys VIII: Lacrimosa of DANA Arrives on Nintendo Switch!,2018-01-13T02:09:06Z,240401,6611,194,34.08
5AmwOFLvpaI,Shining Resonance Refrain Launch Trailer - Nintendo Switch,2018-07-10T13:00:01Z,101405,2985,134,22.28
JHsFcSNFUMc,Katamari Damacy REROLL - Launch Trailer - Nintendo Switch,2018-12-07T18:23:41Z,183510,3581,95,37.69
dGITjo1yVxY,Mark of the Ninja: Remastered - Release Date Trailer - Nintendo Switch,2018-09-25T13:00:06Z,144876,3048,74,41.19
F-H86Wg3Ak0,Disgaea 1 Complete - Launch Trailer - Nintendo Switch,2018-10-09T17:00:00Z,127161,3167,135,23.46
5q2OWpjtct8,Fist of the North Star: Lost Paradise - Launch Trailer | PS4,2018-10-02T15:00:00Z,112762,3198,82,39
Or5HB1Lo8b0,Donkey Kong Country: Tropical Freeze – Tráiler general (Nintendo Switch),2018-04-25T13:00:03Z,456216,3781,169,22.37
nX66TVXF4y8,DARK SOULS: REMASTERED - Launch Trailer - Nintendo Switch,2018-10-19T14:00:07Z,74034,3485,87,40.06
zcTIGiAr448,Dragon Quest XI – Prologue Movie | PS4,2018-08-28T13:00:10Z,101264,2315,36,64.31
GrVNwqbH0kA,Untitled Goose Game - Teaser Trailer - Nintendo Switch,2018-08-28T16:30:00Z,787401,20258,223,90.84
M5Z_F1Ubcvs,Yomawari: The Long Night Collection Announcement Trailer - Nintendo Switch,2018-05-30T17:00:04Z,135626,3933,74,53.15
OrLEHNF8qTg,Super Mario Party - Tráiler de lanzamiento (Nintendo Switch),2018-09-20T13:00:03Z,496786,5806,187,31.05
tqSY9mlmWIs,Super Smash Bros. Ultimate - Tráiler general (Nintendo Switch),2018-11-23T17:00:05Z,936653,12851,485,26.5
u43MtglEXPg,Good Hang or Tough Hang Mushroom Kingdom Edition – Nintendo Minute,2018-01-19T23:00:02Z,278090,6536,374,17.48
WQ-vta0oFDw,Official Call of Duty®: Black Ops 4 Zombies – Chaos Story Trailer,2018-07-17T17:00:43Z,2625132,81824,5183,15.79
CteY21Dz4iM,Official Call of Duty®: WWII — 'Attack of the Undead!' Community Event Trailer,2018-05-29T17:03:19Z,654916,31655,1437,22.03
0LfEPjqzZSg,Official Call of Duty®: Black Ops 4 — Operation Absolute Zero Trailer,2018-12-10T18:00:04Z,1053908,39062,1960,19.93
IFAmtwU9xyY,Official Call of Duty®: WWII - The War Machine DLC 2 Trailer,2018-04-03T17:00:26Z,825629,24832,2047,12.13
wVp_QvmWzrg,2018 Splatoon 2 World Championships - Opening Rounds - Round 2 - Nintendo E3 2018,2018-06-12T18:55:29Z,89559,1107,53,20.89
